ID 	 x 	 y 	 w 	 h 	AREA
-------	-------	-------	-------	-------	-------
0 	 0 	 0 	 2704 	 760 	 2055040
1 	 636 	 0 	 60 	 26 	 1560
1 	 640 	 36 	 58 	 44 	 2552
1 	 642 	 89 	 57 	 45 	 2565
1 	 647 	 140 	 56 	 42 	 2352
1 	 651 	 186 	 53 	 36 	 1908
1 	 654 	 227 	 53 	 37 	 1961
1 	 658 	 266 	 50 	 34 	 1700
1 	 660 	 304 	 50 	 32 	 1600
1 	 664 	 338 	 48 	 32 	 1536
1 	 666 	 372 	 46 	 29 	 1334
1 	 668 	 402 	 45 	 30 	 1350
1 	 671 	 432 	 43 	 30 	 1290
1 	 674 	 460 	 42 	 27 	 1134
1 	 676 	 486 	 40 	 26 	 1040
1 	 674 	 460 	 42 	 27 	 1134
1 	 671 	 432 	 43 	 30 	 1290
1 	 668 	 402 	 45 	 30 	 1350
1 	 666 	 372 	 46 	 29 	 1334
1 	 664 	 338 	 48 	 32 	 1536
1 	 660 	 304 	 50 	 32 	 1600
1 	 658 	 266 	 50 	 34 	 1700
1 	 654 	 227 	 53 	 36 	 1908
1 	 651 	 186 	 53 	 36 	 1908
1 	 647 	 140 	 56 	 42 	 2352
1 	 642 	 89 	 57 	 45 	 2565
1 	 640 	 36 	 58 	 44 	 2552
2 	 0 	 0 	 2704 	 1520 	 4110080
3 	 335 	 938 	 28 	 20 	 560
4 	 640 	 38 	 56 	 92 	 5152
3 	 344 	 931 	 29 	 20 	 580
4 	 648 	 140 	 52 	 38 	 1976
3 	 364 	 924 	 20 	 12 	 240
4 	 652 	 186 	 51 	 35 	 1785
3 	 324 	 952 	 20 	 13 	 260
5 	 638 	 0 	 56 	 25 	 1400
0 	 0 	 0 	 2704 	 1520 	 4110080
1 	 0 	 1204 	 12 	 12 	 144
1 	 2 	 1199 	 17 	 11 	 187
1 	 10 	 1194 	 16 	 14 	 224
1 	 12 	 1189 	 20 	 10 	 200
1 	 23 	 1182 	 15 	 12 	 180
1 	 29 	 1176 	 17 	 12 	 204
1 	 34 	 1171 	 18 	 11 	 198
1 	 42 	 1165 	 17 	 11 	 187
1 	 48 	 1160 	 19 	 14 	 266
1 	 56 	 1154 	 18 	 12 	 216
1 	 64 	 1148 	 16 	 12 	 192
1 	 70 	 1144 	 17 	 10 	 170
1 	 78 	 1137 	 17 	 15 	 255
1 	 84 	 1132 	 17 	 12 	 204
1 	 92 	 1126 	 17 	 14 	 238
